,imdb,metascore,movie,votes,year
0,8.5,68,Avengers: Infinity War,666922,(2018)
1,7.3,88,Black Panther,514063,(2018)
2,7.8,66,Deadpool 2,389379,(2018)
3,8.1,49,Bohemian Rhapsody,342241,(2018)
4,7.6,82,A Quiet Place,303489,(2018)
5,7.5,64,Ready Player One,300576,(2018)
6,6.7,35,Venom,273550,(2018)
7,7.1,55,Aquaman,260013,(2018)
8,7.8,88,A Star Is Born,246643,(2018)
9,7.1,70,Ant-Man and the Wasp,242351,(2018)
10,7.8,86,Mission: Impossible - Fallout,232593,(2018)
11,6.9,79,Annihilation,227816,(2018)
12,7.0,62,Solo: A Star Wars Story,225077,(2018)
13,6.2,51,Jurassic World: Fallen Kingdom,218211,(2018)
14,6.6,51,Bird Box,216580,(2018)
15,8.5,87,Spider-Man: Into the Spider-Verse,207572,(2018)
16,7.7,80,Incredibles 2,202410,(2018)
17,8.3,69,Green Book,201527,(2018)
18,6.3,48,Tomb Raider,163017,(2018)
19,7.0,66,Game Night,162548,(I) (2018)
20,6.6,52,Fantastic Beasts: The Crimes of Grindelwald,162042,(2018)
21,7.3,87,Hereditary,150503,(2018)
22,7.5,83,BlacKkKlansman,147558,(2018)
23,6.2,61,Ocean's 8,143990,(2018)
24,6.6,53,Red Sparrow,136238,(2018)
25,7.4,84,First Man,119146,(2018)
26,6.1,45,Rampage,115358,(2018)
27,7.6,90,The Favourite,114806,(2018)
28,5.7,46,The Meg,112500,(2018)
29,7.9,82,Isle of Dogs,107705,(2018)
30,7.8,96,Roma,106146,(2018)
31,7.6,67,Upgrade,104254,(2018)
32,6.7,50,The Equalizer 2,97216,(2018)
33,7.7,71,Searching,96729,(III) (2018)
34,7.0,74,Crazy Rich Asians,95452,(2018)
35,7.1,61,Sicario: Day of the Soldado,95031,(2018)
36,5.4,48,The Predator,94252,(2018)
37,6.9,66,Bumblebee,92865,(2018)
38,6.2,50,Maze Runner: The Death Cure,90958,(2018)
39,5.6,44,Pacific Rim: Uprising,89079,(2018)
40,5.4,46,The Nun,88641,(2018)
41,6.6,67,Halloween,87557,(I) (2018)
42,7.3,79,The Ballad of Buster Scruggs,86803,(2018)
43,7.1,71,Ralph Breaks the Internet,84726,(2018)
44,7.1,60,Bad Times at the El Royale,84524,(2018)
45,6.5,56,Tag,84365,(I) (2018)
46,5.6,37,The Cloverfield Paradox,83001,(2018)
47,6.9,67,A Simple Favor,82795,(2018)
48,6.3,56,The Commuter,82788,(I) (2018)
49,7.6,72,"Love, Simon",81149,(2018)
50,5.8,51,Skyscraper,80720,(2018)
51,7.2,66,Creed II,71730,(2018)
52,7.2,61,Vice,71576,(I) (2018)
53,6.1,44,Mortal Engines,69416,(2018)
54,7.0,49,Den of Thieves,69393,(2018)
55,7.3,64,To All the Boys I've Loved Before,62318,(2018)
56,7.0,84,Widows,61094,(2018)
57,6.8,60,Mamma Mia! Here We Go Again,59956,(2018)
58,7.1,58,The Mule,57446,(2018)
59,6.2,69,Blockers,56867,(2018)
60,6.7,60,Overlord,55522,(2018)
61,7.3,60,Christopher Robin,52179,(2018)
62,6.9,66,Mary Poppins Returns,51502,(2018)
63,6.4,31,Death Wish,50060,(2018)
64,6.6,54,12 Strong,49914,(2018)
65,6.1,38,Mile 22,47393,(2018)
66,6.0,52,The Spy Who Dumped Me,47383,(2018)
67,6.2,39,Johnny English Strikes Again,46637,(2018)
68,7.4,57,Instant Family,46024,(2018)
69,6.5,51,Mowgli: Legend of the Jungle,44923,(2018)
70,7.0,59,Outlaw King,44750,(2018)
71,6.6,81,Mandy,44068,(2018)
72,4.5,31,Fifty Shades Freed,43743,(2018)
73,7.5,89,Eighth Grade,42916,(2018)
74,6.3,54,Hotel Transylvania 3: Summer Vacation,42036,(2018)
75,5.7,49,Insidious: The Last Key,41946,(2018)
76,6.7,63,Alpha,41520,(2018)
77,5.1,54,The First Purge,41468,(2018)
78,5.3,32,Robin Hood,41050,(2018)
79,7.0,75,Tully,41017,(2018)
80,7.0,80,Sorry to Bother You,39985,(2018)
81,5.4,48,I Feel Pretty,39735,(2018)
82,5.8,40,Extinction,37226,(2018)
83,6.8,64,Suspiria,36807,(I) (2018)
84,5.0,36,How It Ends,36290,(2018)
85,6.5,29,Peppermint,35537,(2018)
86,6.9,42,The House That Jack Built,35182,(2018)
87,7.1,52,The Christmas Chronicles,35152,(2018)
88,4.2,53,A Wrinkle in Time,34776,(2018)
89,6.4,36,When We First Met,34693,(2018)
90,6.6,56,Adrift,33860,(I) (2018)
91,7.2,88,Leave No Trace,33604,(2018)
92,6.6,43,Hunter Killer,33429,(2018)
93,5.1,35,Truth or Dare,33408,(I) (2018)
94,7.6,90,Cold War,33129,(2018)
95,6.0,57,The House with a Clock in Its Walls,32768,(2018)
96,6.5,62,Set It Up,32111,(2018)
97,6.4,63,Unsane,31873,(2018)
98,7.0,78,The Sisters Brothers,31744,(2018)
99,8.2,83,Free Solo,31693,(2018)
100,8.0,93,Shoplifters,30747,(2018)
101,6.1,58,Hotel Artemis,30344,(2018)
102,7.3,62,Beautiful Boy,30036,(I) (2018)
103,6.3,51,The Grinch,29482,(2018)
104,6.3,62,Apostle,29369,(2018)
105,7.2,87,Can You Ever Forgive Me?,29050,(2018)
106,6.1,54,Anon,29029,(I) (2018)
107,7.0,68,American Animals,28725,(2018)
108,6.6,51,Peter Rabbit,27785,(2018)
109,6.1,43,The Girl in the Spider's Web,27677,(2018)
110,5.9,60,Sierra Burgess Is a Loser,26834,(2018)
111,5.6,63,Hold the Dark,26688,(2018)
112,6.8,80,The Old Man & the Gun,25663,(2018)
113,5.5,46,Life of the Party,25639,(I) (2018)
114,5.9,42,Overboard,25425,(2018)
115,5.4,35,Mute,25250,(II) (2018)
116,7.2,87,If Beale Street Could Talk,25126,(2018)
117,7.5,83,The Guilty,24901,(2018)
118,5.4,28,Winchester,24238,(2018)
119,7.2,67,Climax,23851,(I) (2018)
120,4.8,33,The Titan,23816,(2018)
121,6.3,60,Mary Queen of Scots,23517,(2018)
122,7.4,66,Mid90s,23419,(2018)
123,7.0,63,Padmaavat,23292,(2018)
124,5.6,43,Night School,23217,(2018)
125,6.1,61,Braven,23115,(2018)
126,6.7,60,Smallfoot,23038,(2018)
127,7.4,65,The Guernsey Literary and Potato Peel Pie Society,22305,(2018)
128,7.6,90,Burning,22170,(2018)
129,6.7,57,Summer of 84,22103,(2018)
130,5.2,45,The 15:17 to Paris,21740,(2018)
131,5.2,48,The Strangers: Prey at Night,21530,(2018)
132,5.4,32,"Game Over, Man!",21343,(2018)
133,6.1,46,Gringo,21216,(2018)
134,5.7,39,The Darkest Minds,21140,(2018)
135,6.5,58,Operation Finale,20812,(2018)
136,5.8,43,Tau,20276,(2018)
137,6.1,41,Super Troopers 2,20015,(2018)
138,6.7,53,Dumplin',19796,(2018)
